Title,Year,Source title,DOI,Link,Funding Details,Correspondence Address,Language of Original Document,Document Type,Open Access,Source
"RoB 2: A revised tool for assessing risk of bias in randomised trials",2019,"The BMJ","10.1136/bmj.l4898","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071628750&doi=10.1136%2fbmj.l4898&partnerID=40&md5=b15b7da4bc31813583ccbf22a01e63f4","National Eye Institute; National Science Board; University Hospitals Bristol NHS Foundation Trust; NIHR Bristol Biomedical Research Centre; Medical Research Council; National Institute for Health and Care Research; University of Bristol; National Health and Medical Research Council; Canada Research Chairs","Sterne, J.A.C.; Population Health Sciences, United Kingdom; email: jonathan.sterne@bristol.ac.uk","English",Article,"All Open Access, Bronze, Green",Scopus
"Plant salinity stress: Many unanswered questions remain",2019,"Frontiers in Plant Science","10.3389/fpls.2019.00080","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064222819&doi=10.3389%2ffpls.2019.00080&partnerID=40&md5=c1eaba5736207dfb43ced73fa5ab4084","Biotechnology and Biological Sciences Research Council","Isayenkov, S.V.; Department of Plant Food Products and Biofortification, Ukraine; email: stan.isayenkov@gmail.com","English",Review,"All Open Access, Gold, Green",Scopus
"Standards for distribution models in biodiversity assessments",2019,"Science Advances","10.1126/sciadv.aat4858","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060099223&doi=10.1126%2fsciadv.aat4858&partnerID=40&md5=5c9dc98c2846ae5a2744beee06129f7c","Directorate for Biological Sciences; Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung; Fundação para a Ciência e a Tecnologia; National Science Foundation","Araújo, M.B.; National Museum of Natural Sciences, Spain; email: maraujo@mncn.csic.es","English",Article,"All Open Access, Gold, Green",Scopus
"Climatic controls of decomposition drive the global biogeography of forest-tree symbioses",2019,"Nature","10.1038/s41586-019-1128-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065790614&doi=10.1038%2fs41586-019-1128-0&partnerID=40&md5=416cf3480d062ff4a1f78b6ccd7cf1c3","Natural Environment Research Council; Japan Society for the Promotion of Science","Peay, K.G.; Department of Biology, United States; email: kpeay@stanford.edu","English",Article,"All Open Access, Green",Scopus
"Citizen science and the United Nations Sustainable Development Goals",2019,"Nature Sustainability","10.1038/s41893-019-0390-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072655829&doi=10.1038%2fs41893-019-0390-3&partnerID=40&md5=25fea95dc37cae5950d7c856ad457c41","Horizon 2020 Framework Programme; Horizon 2020","Fritz, S.; Ecosystem Services and Management Program, Austria; email: fritz@iiasa.ac.at","English",Article,"All Open Access, Bronze, Green",Scopus
"Initial soil microbiome composition and functioning predetermine future plant health",2019,"Science Advances","10.1126/sciadv.aaw0759","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072637897&doi=10.1126%2fsciadv.aaw0759&partnerID=40&md5=6da6f7aa8c517b10b6b9451ed00114d6","University of York; Wellcome Trust; Royal Society; Koninklijke Nederlandse Akademie van Wetenschappen; National Natural Science Foundation of China; Nederlandse Organisatie voor Wetenschappelijk Onderzoek; Natural Science Foundation of Jiangsu Province; National Key Research and Development Program of China; Fundamental Research Funds for the Central Universities; Higher Education Discipline Innovation Project","Xu, Y.; Jiangsu Provincial Key Lab for Organic Solid Waste Utilization, Weigang 1, China; email: ycxu@njau.edu.cn","English",Article,"All Open Access, Gold, Green",Scopus
"The production of furfural directly from hemicellulose in lignocellulosic biomass: A review",2019,"Catalysis Today","10.1016/j.cattod.2018.06.042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049474527&doi=10.1016%2fj.cattod.2018.06.042&partnerID=40&md5=f238a22630b08d79b597fab3f5b458af","Sichuan Province Science and Technology Support Program; Engineering and Physical Sciences Research Council; National Natural Science Foundation of China; Higher Education Discipline Innovation Project","Fan, J.; Green Chemistry Centre of Excellence, United Kingdom; email: alice.fan@york.ac.uk","English",Article,"All Open Access, Green",Scopus
"Green synthesis of gamma-valerolactone (GVL) through hydrogenation of biomass-derived levulinic acid using non-noble metal catalysts: A critical review",2019,"Chemical Engineering Journal","10.1016/j.cej.2019.04.199","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065073034&doi=10.1016%2fj.cej.2019.04.199&partnerID=40&md5=a7525e73ce12413944ff37aac1185c3b","","Tsang, D.C.W.; Department of Civil and Environmental Engineering, Hung Hom, Hong Kong; email: dan.tsang@polyu.edu.hk","English",Article,"All Open Access, Green",Scopus
"Shaping and structuring supramolecular gels",2019,"Nature Reviews Materials","10.1038/s41578-019-0111-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066889838&doi=10.1038%2fs41578-019-0111-6&partnerID=40&md5=b1cbe2a2bd7ce8761435ab33abba0ed8","University of York; Engineering and Physical Sciences Research Council","Smith, D.K.; Department of Chemistry, United Kingdom; email: david.smith@york.ac.uk","English",Review,"All Open Access, Green",Scopus
"Climate change vulnerability assessment of species",2019,"Wiley Interdisciplinary Reviews: Climate Change","10.1002/wcc.551","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054864637&doi=10.1002%2fwcc.551&partnerID=40&md5=7ba825e1125c0c45fac5014d653794ce","Doris Duke Charitable Foundation; Global Environment Facility; Claude Leon Foundation; Norsk Polarinstitutt","Foden, W.B.; Global Change Biology Group, South Africa; email: fodenw@gmail.com","English",Article,"All Open Access, Bronze, Green",Scopus
