Title,Year,Source title,DOI,Link,Funding Details,Correspondence Address,Language of Original Document,Document Type,Open Access,Source
"Global, regional, and national burden of neurological disorders, 1990–2016: a systematic analysis for the Global Burden of Disease Study 2016",2019,"The Lancet Neurology","10.1016/S1474-4422(18)30499-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064086327&doi=10.1016%2fS1474-4422%2818%2930499-X&partnerID=40&md5=9af078f298cc5e901dcf214729bcefe1","National Institutes of Health; U.S. Department of Defense; National Institute of Child Health and Human Development; Amgen; Bristol-Myers Squibb; Eli Lilly and Company; Pfizer; Astellas Pharma US; AstraZeneca; Bayer; GlaxoSmithKline; Sanofi; BASF; Medtronic; Alexander von Humboldt-Stiftung; Celgene; AbbVie; Boehringer Ingelheim; Merck Sharp and Dohme; Wellcome Trust; Public Health Agency of Canada; Horizon Pharma; Abbott Diagnostics; Horizon Pharmaceuticals; Institute for Physical Activity and Nutrition; Sanofi-Aventis Deutschland; National Institute for Health and Care Research; European Commission; Australian Research Council; National Health and Medical Research Council; Department of Science and Technology, Ministry of Science and Technology, India; Health Research Council of New Zealand; Cancer Society of New Zealand; University of Auckland; Danmarks Grundforskningsfond; Deakin University; National Natural Science Foundation of China; Fundação para a Ciência e a Tecnologia; Bundesministerium für Bildung und Forschung; Ministerio de Educación, Cultura y Deporte; Generalitat Valenciana; Ministério da Educação e Ciência; Hjärt-Lungfonden; Novo Nordisk; Kuwait University; Universiti Kebangsaan Malaysia; Ministarstvo Prosvete, Nauke i Tehnološkog Razvoja; Sistema Nacional de Investigadores; NIHR Collaboration for Leadership in Applied Health Research and Care South London; Maurice Wilkins Centre for Molecular Biodiscovery","Feigin, V.L.; National Institute for Stroke and Applied Neurosciences, Northcote, New Zealand; email: valery.feigin@aut.ac.nz","English",Article,"All Open Access, Hybrid Gold, Green",Scopus
"A randomized trial of E-cigarettes versus nicotine-replacement therapy",2019,"New England Journal of Medicine","10.1056/NEJMoa1808779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060993093&doi=10.1056%2fNEJMoa1808779&partnerID=40&md5=707405d940e7a8f8325af47bcbb8604a","Medical Research Council; National Institute for Health Research; Cancer Research UK; Health Technology Assessment Programme","Przulj, D.; Queen Mary University of London, 2 Stayner's Rd., United Kingdom; email: d.przulj@qmul.ac.uk","English",Article,"All Open Access, Bronze, Green",Scopus
"The 2019 report of The Lancet Countdown on health and climate change: ensuring that the health of a child born today is not defined by a changing climate",2019,"The Lancet","10.1016/S0140-6736(19)32596-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074879744&doi=10.1016%2fS0140-6736%2819%2932596-6&partnerID=40&md5=cb7c6ea69c614c82c03216ec8e554ab6","National Aeronautics and Space Administration; National Oceanic and Atmospheric Administration; Bayer; World Health Organization; Emory University; University of Wisconsin-Madison; George Washington University; University of Minnesota; University of Colorado Boulder; University of Washington; University of Maryland; Wellcome Trust; Institute at Brown for Environment and Society, Brown University; Medical Research Council; Engineering and Physical Sciences Research Council; Natural Environment Research Council; National Institute for Health Research; Imperial College London; University College London; University of Aberdeen; Commonwealth Scientific and Industrial Research Organisation; National University of Singapore; University of Sydney; International Atomic Energy Agency; National Institute for Health Research Biomedical Research Centre at Moorfields Eye Hospital NHS Foundation Trust and UCL Institute of Ophthalmology","Watts, N.; Institute for Global Health, United Kingdom; email: nicholas.watts@ucl.ac.uk","English",Review,"All Open Access, Green",Scopus
"The Lancet Psychiatry Commission: a blueprint for protecting physical health in people with mental illness",2019,"The Lancet Psychiatry","10.1016/S2215-0366(19)30132-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069449593&doi=10.1016%2fS2215-0366%2819%2930132-4&partnerID=40&md5=cf0aa2f82b936c3adabfe338ec7b6695","National Institutes of Health; National Institute of Mental Health; National Center for Complementary and Alternative Medicine; Brain and Behavior Research Foundation; Teva Pharmaceutical Industries; University of York; South London and Maudsley NHS Foundation Trust; Sunovion; National Alliance for Research on Schizophrenia and Depression; King's College Hospital NHS Foundation Trust; Maudsley Charity; National Institute for Health Research; King's College London; National Health and Medical Research Council; Collaboration for Leadership in Applied Health Research and Care - Greater Manchester","Firth, J.; NICM Health Research Institute, Australia; email: j.firth@westernsydney.edu.au","English",Review,"All Open Access, Green",Scopus
"A comparison of heterogeneity variance estimators in simulated random-effects meta-analyses",2019,"Research Synthesis Methods","10.1002/jrsm.1316","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062528296&doi=10.1002%2fjrsm.1316&partnerID=40&md5=fea80af301c7a74fb6b448b51794174f","Medical Research Council","Langan, D.; Great Ormond Street Institute of Child Health, United Kingdom; email: d.langan@ucl.ac.uk","English",Article,"All Open Access, Bronze, Green",Scopus
"Archaeological assessment reveals Earth's early transformation through land use",2019,"Science","10.1126/science.aax1192","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071503396&doi=10.1126%2fscience.aax1192&partnerID=40&md5=03843714c0847bd1d1625d9357bf05b5","National Science Foundation; Directorate for Computer and Information Science and Engineering; Natural Environment Research Council","Stephens, L.; University of Maryland Baltimore County, United States; email: lucas.s.stephens@gmail.com
Ellis, E.; University of Maryland Baltimore County, United States; email: ece@umbc.edu","English",Article,"All Open Access, Bronze, Green",Scopus
"Intravenous iron in patients undergoing maintenance hemodialysis",2019,"New England Journal of Medicine","10.1056/NEJMoa1810742","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056137737&doi=10.1056%2fNEJMoa1810742&partnerID=40&md5=a635a232ceaf0c3b12dbadcdce1de2e0","Kidney Research UK",,"English",Article,"All Open Access, Bronze, Green",Scopus
"Allostery in Its Many Disguises: From Theory to Applications",2019,"Structure","10.1016/j.str.2019.01.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063381900&doi=10.1016%2fj.str.2019.01.003&partnerID=40&md5=a77b3941c207f96a65b059ea0637db55","National Institutes of Health; National Cancer Institute; National Institute of General Medical Sciences; Iowa Science Foundation; European Commission; Universität Heidelberg; Partnership for Advanced Computing in Europe AISBL; Narodowe Centrum Nauki; Seventh Framework Programme; Klaus Tschira Stiftung; Horizon 2020; European Regional Development Fund; Norges Idrettshøgskole","Wodak, S.J.; VIB-VUB, Belgium; email: shoshana.wodak@gmail.com","English",Review,"All Open Access, Bronze, Green",Scopus
"Total hip arthroplasty or hemiarthroplasty for hip fracture",2019,"New England Journal of Medicine","10.1056/NEJMoa1906190","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076063665&doi=10.1056%2fNEJMoa1906190&partnerID=40&md5=8a3931ae84adc7b6edca208e0f8982f0","National Institutes of Health; Canadian Institutes of Health Research","Bhandari, M.; Division of Orthopaedic Surgery, 293 Wellington Street N., Canada; email: bhandam@mcmaster.ca","English",Article,"All Open Access, Bronze, Green",Scopus
"Comprehensive identification of RNA–protein interactions in any organism using orthogonal organic phase separation (OOPS)",2019,"Nature Biotechnology","10.1038/s41587-018-0001-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059560229&doi=10.1038%2fs41587-018-0001-2&partnerID=40&md5=e09c8de047a1906bdd286df662dfb77d","Wellcome Trust; Federation of European Biochemical Societies; Medical Research Council; Biotechnology and Biological Sciences Research Council","Villanueva, E.; Cambridge Centre for Proteomics, United Kingdom; email: ev318@cam.ac.uk","English",Article,"All Open Access, Green",Scopus
